s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
ZILBTC,TRADING,ZIL,BTC,1,฿,1,1e-8,Zilliqa,Bitcoin,0.00000151,0.00000175,0.00000148,0.00000166,141623606,226.93460808,0,141623606,BTC,BTC,10702658771,"[""pow"",""mining-zone""]",,,
ZILBUSD,TRADING,ZIL,BUSD,1,,0.1,0.00001,Zilliqa,BUSD,0.02933,0.03349,0.02758,0.03133,21329670.3,638106.680179,0,21329670.3,USDⓈ,USDⓈ,10702658771,"[""pow"",""mining-zone""]",,,
ZILETH,TRADING,ZIL,ETH,1,Ξ,1,1e-8,Zilliqa,Ethereum,0.00004812,0.00005624,0.00004694,0.0000533,11969499,613.42226268,0,11969499,ALTS,ALTS,10702658771,"[""pow"",""mining-zone""]",,,
ZILUSDT,TRADING,ZIL,USDT,1,,0.1,0.00001,Zilliqa,TetherUS,0.02911,0.03349,0.0275,0.03135,443588697.5,13398502.233466,0,443588697.5,USDⓈ,USDⓈ,10702658771,"[""pow"",""mining-zone""]",,,
ZRXBNB,TRADING,ZRX,BNB,,,0.1,0.00001,0x,BNB,0.01348,0.01398,0.01322,0.01397,32685.6,442.125039,0,32685.6,BNB,BNB,743937911,"[""defi""]",,,
ZRXBUSD,TRADING,ZRX,BUSD,,,0.01,0.0001,0x,BUSD,0.4139,0.4252,0.395,0.4221,129809.19,53375.722897,0,129809.19,USDⓈ,USDⓈ,743937911,"[""defi""]",,,
ZENUSDT,TRADING,ZEN,USDT,,,0.001,0.001,Horizen,TetherUS,14.54,14.683,13.14,13.769,359546.561,5018295.845682,0,359546.561,USDⓈ,USDⓈ,10497412,"[""pow"",""mining-zone""]",,,
ZENETH,TRADING,ZEN,ETH,,Ξ,0.001,0.00001,Horizen,Ethereum,0.02385,0.02448,0.02261,0.02324,11285.729,265.91287627,0,11285.729,ALTS,ALTS,10497412,"[""pow"",""mining-zone""]",,,
ZECBNB,TRADING,ZEC,BNB,,,0.001,0.001,Zcash,BNB,2.54,2.61,2.459,2.469,677.238,1701.060905,0,677.238,BNB,BNB,5196519,"[""pow"",""mining-zone""]",,,
ZECBTC,TRADING,ZEC,BTC,,฿,0.001,0.000001,Zcash,Bitcoin,0.00404,0.004185,0.00394,0.00395,37814.302,152.43766088,0,37814.302,BTC,BTC,5196519,"[""pow"",""mining-zone""]",,,
ZECBUSD,TRADING,ZEC,BUSD,,,0.00001,0.01,Zcash,BUSD,77.43,79.18,73.54,74.65,2799.82,213597.9019433,0,2799.81511,USDⓈ,USDⓈ,5196519,"[""pow"",""mining-zone""]",,,
ZECETH,TRADING,ZEC,ETH,,Ξ,0.001,0.00001,Zcash,Ethereum,0.1289,0.13336,0.12621,0.12701,2473.61,317.65494886,0,2473.61,ALTS,ALTS,5196519,"[""pow"",""mining-zone""]",,,
