s,st,b,q,ba,qa,i,ts,an,qn,o,h,l,c,v,qv,y,as,pm,pn,cs,tags,pom,pomt,etf
KMDBUSD,BREAK,KMD,BUSD,,,0.01,0.0001,Komodo,BUSD,0.4687,0.4782,0.4371,0.4676,145580.34,68040.474705,0,145580.34,USDⓈ,USDⓈ,123033324,"[""pow"",""mining-zone""]",,,
KMDETH,TRADING,KMD,ETH,,Ξ,0.01,0.000001,Komodo,Ethereum,0.000946,0.000991,0.000935,0.00097,36637.74,35.38556478,0,36637.74,ALTS,ALTS,123033324,"[""pow"",""mining-zone""]",,,
KMDUSDT,TRADING,KMD,USDT,,,0.01,0.0001,Komodo,TetherUS,0.5642,0.5887,0.5625,0.5785,294175.78,170219.917695,0,294175.78,USDⓈ,USDⓈ,123033324,"[""pow"",""mining-zone""]",,,
KNCBUSD,TRADING,KNC,BUSD,,,0.001,0.001,KyberNetwork,BUSD,0.98,0.98,0.938,0.949,11632.526,11109.660885,0,11632.526,USDⓈ,USDⓈ,200871753,"[""defi""]",,,
KNCUSDT,TRADING,KNC,USDT,,,0.001,0.001,KyberNetwork,TetherUS,0.977,0.98,0.937,0.946,1341018.575,1282777.736042,0,1341018.575,USDⓈ,USDⓈ,200871753,"[""defi""]",,,
KP3RBNB,TRADING,KP3R,BNB,,,0.001,0.001,Keep3rV1,BNB,15.347,16.442,14.26,14.782,1969.719,29633.282764,0,1969.719,BNB,BNB,,"[""innovation-zone"",""defi""]",,,
KP3RBUSD,TRADING,KP3R,BUSD,,,0.00001,0.01,Keep3rV1,BUSD,449.22,481.23,413,434.4,10508.68,4657380.7173474,0,10508.67064,USDⓈ,USDⓈ,,"[""innovation-zone"",""defi""]",,,
KSMBNB,TRADING,KSM,BNB,,,0.01,0.0001,Kusama,BNB,1.7864,1.8643,1.7477,1.815,535.33,962.80019,0,535.33,BNB,BNB,,"[""pos"",""mining-zone""]",,,
KSMBUSD,TRADING,KSM,BUSD,,,0.001,0.001,Kusama,BUSD,52.641,54.565,51.04,53.377,1956.748,103536.757652,0,1956.748,USDⓈ,USDⓈ,,"[""pos"",""mining-zone""]",,,
KSMUSDT,TRADING,KSM,USDT,,,0.001,0.001,Kusama,TetherUS,52.408,54.563,50.937,53.256,55817.913,2951062.516102,0,55817.913,USDⓈ,USDⓈ,,"[""pos"",""mining-zone""]",,,
